MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
1391.4399414	1391.4399414	1377.4399414	1857.24	1922.8430176
1391.52002	1391.52002	1377.52002	1857.4100342	941.4772339
1391.6800537	1391.6800537	1377.6800537	1858.5699463	275.9432678
1394.6500244	1394.6500244	1380.6500244	1861.6800537	1909.9176025
1397.63	1397.63	1383.63	1864.790039	1916.3546143
1400.6	1400.6	1386.6	1867.9	1909.9908447
1403.5799561	1403.5799561	1389.5799561	1871	1922.5448
1406.5500488	1406.5500488	1392.5500488	1874.12	1903.9388428
1409.530029	1409.530029	1395.530029	1877.22998	1916.428101
1412.5	1412.5	1398.5	1880.3399658	1909.9176025
1417.0799561	1417.0799561	1403.0799561	1884.3299561	2295.7548828
1417.13	1417.13	1403.13	1884.37	2499.0476074
1418.3100586	1418.3100586	1404.3100586	1885.469971	2145.6611328
1418.459961	1418.459961	1404.459961	1887.6500244	137.5188141
1419.1800537	1419.1800537	1405.1800537	1888.3299561	2118.013916
1419.27002	1419.27002	1405.27002	1888.4	2566.9660645
1421.4300537	1421.4300537	1407.4300537	1890.76001	1830.5480957
1424.4100342	1424.4100342	1410.4100342	1893.87	1916.428101
1427.38	1427.38	1413.38	1896.97998	1909.9908447
1430.3599854	1430.3599854	1416.3599854	1900.0899658	1916.3546143
1433.3299561	1433.3299561	1419.3299561	1903.2	1909.9908447
1436.3100586	1436.3100586	1422.3100586	1906.3	1922.549561
1439.280029	1439.280029	1425.280029	1909.4200439	1903.8605957
1442.26001	1442.26001	1428.26001	1912.530029	1916.3546143
1445.22998	1445.22998	1431.22998	1915.6400146	1909.9908447
1449.8100586	1449.8100586	1435.8100586	1919.6400146	2290
1449.8599854	1449.8599854	1435.8599854	1919.6800537	2500.394043
1451.040039	1451.040039	1437.040039	1920.77002	2165.1374512
1451.1899414	1451.1899414	1437.1899414	1922.9499512	137.533844
1451.9100342	1451.9100342	1437.9100342	1923.6400146	2086.9152832
1452	1452	1438	1923.709961	2571.3391113
1454.1600342	1454.1600342	1440.1600342	1926.0600586	1838.2550049
1457.1400146	1457.1400146	1443.1400146	1929.1700439	1916.428101
1460.1099854	1460.1099854	1446.1099854	1932.280029	1909.9176025
1463.0899658	1463.0899658	1449.0899658	1935.3900146	1916.4035645
1466.0600586	1466.0599365	1452.0599365	1938.49	1916.1306152
1469.040039	1469.039917	1455.039917	1941.6099854	1910.24231
1473.6	1473.5997314	1459.5997314	1945.6099854	2279.9560547
1473.6500244	1473.64978	1459.64978	1945.6400146	3332.0026855
1474.8299561	1474.8297119	1460.8297119	1946.74	2145.16748
1474.99	1474.9897461	1460.9897461	1947.9100342	273.5485535
1476.7	1476.699707	1462.699707	1949.6099854	2011.7713623
1476.780029	1476.7797852	1462.7797852	1949.6700439	2665.602051
1477.969971	1477.9696045	1463.9696045	1951.01001	1776.115601
1480.6400146	1480.6396484	1466.6396484	1953.9100342	1841.3731689
1480.9399414	1480.9395752	1466.9395752	1955.1800537	472.2962341
1483.9200439	1483.9196777	1469.9196777	1958.280029	1922.5883789
1486.8900146	1486.8895264	1472.8895264	1961.4	1903.8258057
1489.87	1489.8695068	1475.8695068	1964.51001	1916.3930664
1492.8399658	1492.8393555	1478.8393555	1967.63	1903.7530518
1495.8199463	1495.8193359	1481.8193359	1970.72998	1922.5834961
1498.8	1498.7993164	1484.7993164	1973.8399658	1916.3980713
1501.77002	1501.7692871	1487.7692871	1976.959961	1903.8258057
1504.75	1504.7491455	1490.7491455	1980.0600586	1922.4356689
1507.719971	1507.7191162	1493.7191162	1983.1700439	1909.9559326
1510.7	1510.6990967	1496.6990967	1986.280029	1916.31958
1513.6700439	1513.6690674	1499.6690674	1989.3900146	1910.0344238
1516.6500244	1516.6490479	1502.6490479	1992.5	1916.3930664
1521.219971	1521.2188721	1507.2188721	1996.5	2284.8928223
1521.27002	1521.268921	1507.268921	1996.540039	2499.0019531
1522.4499512	1522.4488525	1508.4488525	1997.6400146	2145.4001465
1522.6	1522.598877	1508.598877	1998.8	258.6523438
1524.6400146	1524.6387939	1510.6387939	2000.5	2400.1086426
1524.74	1524.73877	1510.73877	2000.5700684	2852.5192871
